TEAM,MATCH_UP,GAME_DATE,OUTCOME,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
ATL,ATL vs. BOS,44517,W,240,110,41,81,50.6,13,37,35.1,15,18,83.3,6,34,40,28,9,4,14,17,11
ATL,ATL vs. ORL,44515,W,240,129,47,85,55.3,14,30,46.7,21,32,65.6,9,37,46,32,10,7,11,17,18
ATL,ATL vs. MIL,44514,W,240,120,47,97,48.5,15,35,42.9,11,13,84.6,15,36,51,21,6,1,13,19,20
ATL,ATL @ DEN,44512,L,240,96,38,93,40.9,5,28,17.9,15,21,71.4,14,36,50,20,2,5,8,20,-9
ATL,ATL @ UTA,44509,L,240,98,37,85,43.5,18,35,51.4,6,10,60,6,26,32,22,6,5,13,18,-12
ATL,ATL @ GSW,44508,L,240,113,38,82,46.3,17,43,39.5,20,26,76.9,3,32,35,21,6,2,18,16,-14
ATL,ATL @ PHX,44506,L,240,117,42,97,43.3,13,33,39.4,20,23,87,14,36,50,18,3,1,12,16,-4
ATL,ATL vs. UTA,44504,L,240,98,35,82,42.7,7,28,25,21,26,80.8,5,27,32,18,11,4,9,24,-18
ATL,ATL @ BKN,44503,L,240,108,41,94,43.6,13,35,37.1,13,15,86.7,12,40,52,23,8,4,14,16,-9
ATL,ATL vs. WAS,44501,W,240,118,38,83,45.8,13,34,38.2,29,29,100,13,34,47,24,9,5,11,17,7
ATL,ATL @ PHI,44499,L,240,94,36,95,37.9,8,22,36.4,14,19,73.7,20,29,49,24,6,1,19,17,-28
ATL,ATL @ WAS,44497,L,240,111,48,88,54.5,6,21,28.6,9,14,64.3,6,37,43,26,4,3,13,16,-11
ATL,ATL @ NOP,44496,W,240,102,40,96,41.7,8,30,26.7,14,17,82.4,21,34,55,21,4,4,11,14,3
ATL,ATL vs. DET,44494,W,240,122,46,90,51.1,12,32,37.5,18,21,85.7,10,39,49,24,11,3,16,19,18
ATL,ATL @ CLE,44492,L,240,95,38,99,38.4,10,34,29.4,9,15,60,17,37,54,20,5,3,9,23,-6
ATL,ATL vs. DAL,44490,W,240,113,45,94,47.9,15,35,42.9,8,9,88.9,6,49,55,31,8,9,13,16,26
BOS,BOS @ ATL,44517,L,240,99,37,85,43.5,11,42,26.2,14,17,82.4,12,30,42,24,9,2,14,17,-11
BOS,BOS @ CLE,44515,W,240,98,36,78,46.2,10,29,34.5,16,20,80,6,40,46,23,7,6,14,16,6
BOS,BOS @ CLE,44513,L,240,89,33,78,42.3,6,23,26.1,17,18,94.4,10,37,47,20,7,3,20,16,-2
BOS,BOS vs. MIL,44512,W,265,122,47,96,49,12,41,29.3,16,18,88.9,16,37,53,22,5,7,17,12,9
BOS,BOS vs. TOR,44510,W,240,104,42,94,44.7,10,29,34.5,10,15,66.7,12,32,44,21,10,5,15,13,16
BOS,BOS @ DAL,44506,L,240,104,42,86,48.8,9,31,29,11,16,68.8,8,28,36,20,6,2,11,14,-3
BOS,BOS @ MIA,44504,W,240,95,31,78,39.7,16,41,39,17,20,85,11,35,46,16,7,4,16,16,17
BOS,BOS @ ORL,44503,W,240,92,33,79,41.8,10,37,27,16,25,64,9,41,50,24,7,9,11,20,13
BOS,BOS vs. CHI,44501,L,240,114,42,96,43.8,15,33,45.5,15,20,75,13,25,38,20,10,1,9,15,-14
BOS,BOS @ WAS,44499,L,290,112,44,107,41.1,2,26,7.7,22,25,88,8,46,54,23,8,10,12,32,-3
BOS,BOS vs. WAS,44496,L,240,107,37,85,43.5,10,29,34.5,23,28,82.1,10,27,37,18,9,5,13,21,-9
BOS,BOS @ CHA,44494,W,265,140,50,101,49.5,19,50,38,21,25,84,11,42,53,33,8,9,12,23,11
BOS,BOS @ HOU,44493,W,240,107,38,86,44.2,15,47,31.9,16,20,80,6,37,43,22,10,6,12,22,10
BOS,BOS vs. TOR,44491,L,240,83,32,82,39,11,34,32.4,8,11,72.7,10,32,42,19,6,12,25,19,-32
BOS,BOS @ NYK,44489,L,290,134,48,117,41,21,57,36.8,17,23,73.9,15,41,56,34,13,9,18,24,-4
BKN,BKN vs. CLE,44517,,180,109,38,83,45.8,12,32,37.5,21,25,84,8,39,47,29,7,3,12,20,10
BKN,BKN vs. GSW,44516,L,240,99,34,88,38.6,10,36,27.8,21,27,77.8,9,29,38,21,12,2,12,23,-18
BKN,BKN @ OKC,44514,W,240,120,41,82,50,18,43,41.9,20,21,95.2,7,37,44,31,8,3,15,15,24
BKN,BKN @ NOP,44512,W,240,120,41,82,50,18,34,52.9,20,27,74.1,7,27,34,27,9,4,12,20,8
BKN,BKN @ ORL,44510,W,240,123,46,91,50.5,16,37,43.2,15,17,88.2,8,41,49,29,8,5,15,18,33
BKN,BKN @ CHI,44508,L,240,95,34,86,39.5,11,33,33.3,16,19,84.2,6,36,42,19,6,7,15,16,-23
BKN,BKN @ TOR,44507,W,240,116,41,80,51.3,17,38,44.7,17,20,85,12,36,48,29,3,0,16,15,13
BKN,BKN @ DET,44505,W,240,96,36,80,45,11,27,40.7,13,14,92.9,4,41,45,25,3,4,17,21,6
BKN,BKN vs. ATL,44503,W,240,117,43,88,48.9,22,48,45.8,9,12,75,7,35,42,34,7,8,16,18,9
BKN,BKN vs. DET,44500,W,240,117,47,72,65.3,13,25,52,10,16,62.5,2,39,41,30,7,2,20,19,26
BKN,BKN vs. IND,44498,W,240,105,34,76,44.7,6,26,23.1,31,41,75.6,10,40,50,20,9,6,18,21,7
BKN,BKN vs. MIA,44496,L,240,93,33,85,38.8,14,43,32.6,13,14,92.9,4,38,42,21,7,7,16,24,-13
BKN,BKN vs. WAS,44494,W,240,104,40,94,42.6,10,35,28.6,14,17,82.4,7,47,54,23,6,4,9,19,14
BKN,BKN vs. CHA,44493,L,240,95,38,87,43.7,9,35,25.7,10,12,83.3,9,35,44,18,10,8,17,19,-16
BKN,BKN @ PHI,44491,W,240,114,41,88,46.6,12,38,31.6,20,24,83.3,11,36,47,26,6,6,13,16,5
BKN,BKN @ MIL,44488,L,240,104,37,84,44,17,32,53.1,13,23,56.5,5,39,44,19,3,9,13,17,-23
CHA,CHA vs. WAS,44517,W,240,97,42,96,43.8,10,32,31.3,3,6,50,16,43,59,30,6,8,11,16,10
CHA,CHA vs. GSW,44514,W,240,106,42,88,47.7,14,36,38.9,8,12,66.7,4,35,39,23,10,2,13,21,4
CHA,CHA vs. NYK,44512,W,240,104,39,90,43.3,10,36,27.8,16,24,66.7,12,37,49,25,10,5,14,18,8
CHA,CHA @ MEM,44510,W,240,118,41,90,45.6,15,36,41.7,21,24,87.5,9,40,49,32,13,7,17,16,10
CHA,CHA @ LAL,44508,L,265,123,43,99,43.4,14,42,33.3,23,28,82.1,14,41,55,23,5,3,18,23,-3
CHA,CHA @ LAC,44507,L,240,106,41,101,40.6,10,33,30.3,14,18,77.8,12,32,44,20,13,2,13,21,-14
CHA,CHA @ SAC,44505,L,240,110,43,92,46.7,11,35,31.4,13,21,61.9,7,21,28,29,8,5,10,19,-30
CHA,CHA @ GSW,44503,L,240,92,34,91,37.4,10,36,27.8,14,19,73.7,9,40,49,18,10,2,16,14,-22
CHA,CHA vs. CLE,44501,L,240,110,42,101,41.6,15,39,38.5,11,15,73.3,20,26,46,27,12,12,17,23,-3
CHA,CHA vs. POR,44500,W,240,125,46,89,51.7,20,42,47.6,13,21,61.9,10,34,44,36,4,6,9,18,12
CHA,CHA @ MIA,44498,L,240,99,35,90,38.9,13,37,35.1,16,22,72.7,11,26,37,21,8,6,11,17,-15
CHA,CHA @ ORL,44496,W,240,120,43,83,51.8,14,30,46.7,20,24,83.3,10,30,40,22,14,4,17,14,9
CHA,CHA vs. BOS,44494,L,265,129,46,103,44.7,19,44,43.2,18,28,64.3,14,38,52,26,4,6,14,25,-11
CHA,CHA @ BKN,44493,W,240,111,43,94,45.7,10,30,33.3,15,19,78.9,10,38,48,26,10,5,12,17,16
CHA,CHA @ CLE,44491,W,240,123,48,91,52.7,13,32,40.6,14,17,82.4,11,35,46,32,13,1,18,16,11
